,RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
29,80,"Maybin, C",SD,CF,17,53,9,16,2,0,1,5,4,15,3,2,.302,.351,.396,.747,0,0,0,0,21,3,0,12,10,1.20,199,57
30,80,"Yelich, C",MIA,LF,19,53,9,16,2,1,0,5,5,7,2,0,.302,.362,.377,.739,0,0,0,0,20,3,1,23,8,2.88,93,58
31,82,"Dominguez, C",CIN,3B,27,60,10,18,7,0,3,14,2,17,1,2,.300,.317,.567,.884,0,0,0,1,34,10,2,20,8,2.50,135,63
32,83,"Gose, A",DET,CF,24,67,12,20,4,3,0,7,5,19,6,2,.299,.356,.448,.804,0,1,1,0,30,7,0,19,10,1.90,134,74
33,84,"Reyes, J",TOR,SS,20,57,9,17,5,2,1,7,2,5,3,0,.298,.317,.509,.825,0,0,0,1,29,8,1,16,21,0.76,91,60
34,85,"Eaton, A",CWS,CF,17,47,6,14,2,0,0,4,9,11,5,1,.298,.441,.340,.781,0,3,1,0,16,2,0,14,9,1.56,148,60
35,86,"Canha, M",OAK,LF,29,74,13,22,7,0,6,13,4,23,0,0,.297,.342,.635,.977,0,1,0,0,47,13,0,13,16,0.81,206,79
36,87,"Ramirez, A",CWS,SS,21,64,4,19,5,0,0,17,2,4,2,1,.297,.309,.375,.684,0,0,0,2,24,5,2,23,22,1.05,110,68
37,87,"Rua, R",TEX,LF,22,64,7,19,6,2,2,11,3,14,0,0,.297,.338,.547,.885,0,1,0,0,35,10,3,24,10,2.40,231,68
38,89,"Goldschmidt, P",ARI,1B,22,58,9,17,6,0,3,9,10,17,2,0,.293,.391,.552,.943,0,0,0,1,32,9,0,11,14,0.79,256,69
39,90,"Morales, K",KC,DH,25,72,6,21,5,0,3,8,4,17,0,0,.292,.329,.486,.815,0,0,0,0,35,8,0,22,12,1.83,248,76
40,91,"Seager, K",SEA,3B,23,55,9,16,3,1,3,13,10,7,0,1,.291,.391,.545,.937,0,1,0,3,30,7,4,18,21,0.86,233,69
41,91,"Springer, G",HOU,RF,19,55,13,16,3,1,3,6,8,16,2,1,.291,.391,.545,.936,0,1,0,0,30,7,0,15,8,1.88,137,65
42,93,"Pompey, D",TOR,CF,22,62,8,18,3,2,1,4,5,13,3,1,.290,.343,.452,.795,0,0,1,0,28,6,1,17,16,1.06,136,68
43,94,"Villar, J",HOU,SS,24,52,6,15,3,3,0,9,4,14,2,0,.288,.362,.462,.824,0,2,2,0,24,6,1,18,8,2.25,113,60
44,95,"Semien, M",OAK,SS,24,66,14,19,5,0,3,11,9,15,0,1,.288,.382,.500,.882,0,1,0,0,33,8,1,12,21,0.57,190,76
45,96,"Cabrera, E",BAL,SS,25,63,11,18,3,2,1,5,7,9,3,3,.286,.357,.444,.802,0,0,0,0,28,6,3,34,5,6.80,115,70
46,96,"Gyorko, J",SD,2B,21,56,7,16,4,0,2,7,5,20,0,0,.286,.365,.464,.829,0,2,0,0,26,6,0,8,12,0.67,244,63
47,96,"Ynoa, R",COL,3B,28,63,8,18,3,0,0,6,2,7,1,0,.286,.308,.333,.641,0,0,0,0,21,3,3,29,12,2.42,182,65
48,99,"Cuddyer, M",NYM,LF,21,60,9,17,5,0,6,9,1,9,0,0,.283,.295,.667,.962,0,0,0,0,40,11,3,21,16,1.31,95,61
49,100,"Martin, L",TEX,CF,20,57,10,16,1,0,3,9,5,8,3,2,.281,.339,.456,.795,0,0,0,0,26,4,0,19,14,1.36,195,62
0,101,"Vargas, K",MIN,1B,22,68,8,19,2,0,4,10,5,14,0,0,.279,.329,.485,.814,0,0,0,0,33,6,4,27,12,2.25,124,73
1,102,"Aybar, E",LAA,SS,22,61,5,17,2,2,1,5,1,6,1,0,.279,.290,.426,.717,0,0,0,0,26,5,0,16,22,0.73,118,62
2,102,"Calhoun, K",LAA,RF,22,61,9,17,1,0,1,7,4,10,1,0,.279,.333,.344,.678,0,1,0,0,21,2,0,12,22,0.55,140,66
3,104,"Galvis, F",PHI,SS,23,72,7,20,1,0,2,7,3,8,0,0,.278,.307,.375,.682,0,0,2,0,27,3,0,23,23,1.00,119,77
4,105,"Adams, M",STL,1B,20,51,2,14,3,0,1,7,3,6,0,0,.275,.309,.392,.701,0,0,0,1,20,4,1,14,19,0.74,80,55
5,105,"Longoria, E",TB,3B,21,51,8,14,1,0,3,10,2,18,0,0,.275,.310,.471,.781,0,2,0,3,24,4,0,7,15,0.47,114,58
6,107,"Butler, B",OAK,DH,22,59,11,16,4,0,5,15,9,13,0,0,.271,.362,.593,.956,1,0,0,1,35,9,1,16,16,1.00,167,69
7,108,"McGehee, C",SF,3B,24,63,8,17,5,0,0,5,5,9,0,1,.270,.324,.349,.673,0,0,0,0,22,5,1,19,19,1.00,138,68
8,109,"Prado, M",MIA,3B,20,56,6,15,3,0,0,4,3,3,1,0,.268,.305,.321,.627,0,0,0,0,18,3,5,30,13,2.31,75,59
9,110,"Davis, R",DET,CF,21,60,8,16,4,1,0,6,5,13,4,1,.267,.313,.367,.680,0,0,0,2,22,5,1,19,15,1.27,116,67
10,110,"Harper, B",WSH,RF,19,45,9,12,2,1,3,8,15,11,1,1,.267,.450,.556,1.006,0,0,0,0,25,6,0,15,7,2.14,139,60
11,112,"Flores, W",NYM,SS,21,64,7,17,6,0,2,9,3,7,1,0,.266,.304,.453,.757,0,1,0,1,29,8,1,23,19,1.21,106,69
12,113,"Ramirez, H",BOS,LF,20,57,4,15,5,0,1,12,1,5,0,0,.263,.283,.404,.687,0,1,0,1,23,6,4,29,13,2.23,78,60
13,114,"Crawford, B",SF,SS,22,61,5,16,5,1,0,5,4,8,2,0,.262,.318,.377,.695,0,1,0,0,23,6,4,28,13,2.15,132,66
14,114,"Gosselin, P",ATL,2B,27,61,4,16,0,0,0,8,4,11,1,0,.262,.303,.262,.565,0,0,0,1,16,0,2,20,17,1.18,102,66
15,116,"Callaspo, A",ATL,3B,23,69,9,18,1,0,0,5,1,1,0,0,.261,.268,.275,.543,0,0,0,1,19,1,2,27,26,1.04,84,71
16,116,"Uggla, D",WSH,2B,23,46,9,12,3,0,2,6,13,9,1,0,.261,.433,.457,.890,0,1,0,0,21,5,0,15,10,1.50,125,60
17,118,"Venable, W",SD,CF,18,50,7,13,4,0,1,7,6,15,2,1,.260,.339,.400,.739,0,0,0,0,20,5,1,15,8,1.88,192,56
18,119,"Myers, W",SD,CF,18,58,6,15,4,0,3,5,5,13,1,2,.259,.317,.483,.800,0,0,0,0,28,7,0,15,15,1.00,209,63
19,120,"Tomas, Y",ARI,3B,24,70,5,18,3,1,2,12,3,16,0,1,.257,.307,.414,.721,0,2,0,0,29,6,1,23,14,1.64,215,75
20,121,"Arenado, N",COL,3B,21,63,8,16,5,0,5,15,2,7,0,0,.254,.273,.571,.844,0,0,0,1,36,10,1,23,19,1.21,210,66
21,121,"Tejada, R",NYM,SS,22,63,9,16,8,0,0,12,5,8,0,0,.254,.304,.381,.685,0,0,1,1,24,8,1,17,25,0.68,111,70
22,123,"Fuld, S",OAK,LF,22,67,11,17,5,3,0,8,3,9,1,0,.254,.282,.418,.700,0,0,0,1,28,8,3,32,13,2.46,174,71
23,124,"Craig, A",BOS,RF,19,52,4,13,2,0,2,9,7,15,0,1,.250,.333,.404,.737,0,0,0,1,21,4,2,16,11,1.45,117,60
24,124,"Davis, C",BAL,1B,20,60,5,15,3,0,3,12,5,20,1,0,.250,.313,.450,.763,0,1,0,1,27,6,2,16,12,1.33,128,67
25,124,"Field, T",TEX,2B,24,56,10,14,3,1,2,9,4,12,0,0,.250,.311,.446,.758,0,1,2,0,25,6,1,16,17,0.94,195,63
26,124,"Gomez, H",MIL,2B,27,56,4,14,2,0,1,4,1,9,0,0,.250,.263,.339,.602,0,0,2,0,19,3,3,20,18,1.11,104,59
27,124,"Grichuk, R",STL,CF,20,44,10,11,1,0,4,10,8,10,0,0,.250,.365,.545,.911,0,0,0,0,24,5,1,11,13,0.85,100,52
28,124,"Morrison, L",SEA,1B,22,60,7,15,4,1,2,7,4,8,0,0,.250,.297,.450,.747,0,0,0,0,27,7,1,20,18,1.11,174,64
29,124,"Parra, G",MIL,LF,23,56,8,14,2,0,1,11,5,13,0,2,.250,.317,.339,.657,0,1,0,1,19,3,4,21,13,1.62,140,63
30,131,"Castellanos, N",DET,3B,24,61,5,15,2,0,1,10,4,15,0,0,.246,.299,.328,.626,0,1,0,1,20,3,0,9,23,0.39,110,67
31,131,"Perez, H",DET,2B,28,61,5,15,1,1,0,4,4,16,1,2,.246,.299,.295,.594,0,1,0,1,18,2,1,19,13,1.46,121,67
32,133,"Campbell, E",NYM,1B,25,57,10,14,6,1,2,9,8,13,1,0,.246,.358,.491,.849,0,2,0,0,28,9,2,17,15,1.13,129,67
